k,BubbleSort partiel,BuildHeap / Remove,HeapSort
1,0.0110000,0.0290000,0.0370000
2,0.0080000,0.0100000,0.0310000
3,0.0100000,0.0140000,0.0280000
4,0.0140000,0.0100000,0.0270000
5,0.0130000,0.0100000,0.0330000
6,0.0130000,0.0120000,0.0360000
7,0.0130000,0.0170000,0.0270000
8,0.0200000,0.0110000,0.0320000
9,0.0220000,0.0170000,0.0380000
10,0.0190000,0.0160000,0.0220000
11,0.0140000,0.0100000,0.0220000
12,0.0150000,0.0180000,0.0310000
13,0.0230000,0.0150000,0.0320000
14,0.0220000,0.0270000,0.0340000
15,0.0230000,0.0160000,0.0310000
16,0.0270000,0.0170000,0.0320000
17,0.0230000,0.0110000,0.0330000
18,0.0280000,0.0170000,0.0390000
19,0.0330000,0.0130000,0.0190000
20,0.0240000,0.0120000,0.0210000
21,0.0230000,0.0110000,0.0200000
22,0.0230000,0.0130000,0.0290000
23,0.0280000,0.0150000,0.0200000
24,0.0390000,0.0180000,0.0300000
25,0.0280000,0.0180000,0.0270000
26,0.0320000,0.0200000,0.0310000
27,0.0340000,0.0250000,0.0350000
28,0.0350000,0.0220000,0.0300000
29,0.0340000,0.0210000,0.0310000
30,0.0350000,0.0210000,0.0330000
31,0.0380000,0.0210000,0.0320000
32,0.0350000,0.0210000,0.0300000
33,0.0360000,0.0240000,0.0240000
34,0.0320000,0.0200000,0.0220000
35,0.0340000,0.0180000,0.0220000
36,0.0410000,0.0160000,0.0210000
37,0.0440000,0.0230000,0.0310000
38,0.0410000,0.0260000,0.0320000
39,0.0410000,0.0260000,0.0340000
40,0.0410000,0.0260000,0.0340000
41,0.0430000,0.0260000,0.0340000
42,0.0430000,0.0270000,0.0320000
43,0.0450000,0.0270000,0.0320000
44,0.0410000,0.0260000,0.0220000
45,0.0380000,0.0270000,0.0340000
46,0.0440000,0.0180000,0.0240000
47,0.0380000,0.0260000,0.0280000
48,0.0350000,0.0250000,0.0280000
49,0.0370000,0.0230000,0.0310000
50,0.0430000,0.0180000,0.0300000
51,0.0440000,0.0220000,0.0240000
52,0.0430000,0.0280000,0.0360000
53,0.0370000,0.0190000,0.0230000
54,0.0380000,0.0300000,0.0270000
55,0.0490000,0.0380000,0.0400000
56,0.0530000,0.0330000,0.0390000
57,0.0570000,0.0310000,0.0370000
58,0.0530000,0.0330000,0.0370000
59,0.0530000,0.0330000,0.0380000
60,0.0540000,0.0350000,0.0380000
61,0.0550000,0.0340000,0.0380000
62,0.0560000,0.0330000,0.0320000
63,0.0560000,0.0430000,0.0280000
64,0.0510000,0.0230000,0.0360000
65,0.0500000,0.0290000,0.0270000
66,0.0470000,0.0290000,0.0370000
67,0.0500000,0.0320000,0.0330000
68,0.0500000,0.0250000,0.0300000
69,0.0500000,0.0330000,0.0330000
70,0.0520000,0.0330000,0.0270000
71,0.0590000,0.0390000,0.0390000
72,0.0750000,0.0410000,0.0420000
73,0.0800000,0.0500000,0.0410000
74,0.0680000,0.0460000,0.0460000
75,0.0660000,0.0410000,0.0460000
76,0.0680000,0.0530000,0.0530000
77,0.0730000,0.0420000,0.0510000
78,0.0590000,0.0430000,0.0520000
79,0.0640000,0.0300000,0.0440000
80,0.0650000,0.0290000,0.0290000
81,0.0630000,0.0440000,0.0420000
82,0.0550000,0.0280000,0.0390000
83,0.0560000,0.0560000,0.0520000
84,0.0670000,0.0450000,0.0430000
85,0.0510000,0.0340000,0.0370000
86,0.0500000,0.0390000,0.0430000
87,0.0660000,0.0430000,0.0520000
88,0.0750000,0.0650000,0.0520000
89,0.0700000,0.0500000,0.0520000
90,0.0700000,0.0520000,0.0470000
91,0.0780000,0.0500000,0.0530000
92,0.0730000,0.0470000,0.0460000
93,0.0690000,0.0460000,0.0460000
94,0.0810000,0.0450000,0.0450000
95,0.0820000,0.0540000,0.0620000
96,0.0690000,0.0560000,0.0440000
97,0.0730000,0.0490000,0.0440000
98,0.0750000,0.0490000,0.0680000
99,0.0650000,0.0460000,0.0490000
100,0.0740000,0.0480000,0.0490000
